,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
log_lik[6504],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6505],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6506],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6507],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6508],-2.56789,0.00988946,0.349463,0.221108,-3.26432,-2.46568,-2.22591,1465.89,1583.58,1.00004
log_lik[6509],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6510],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6511],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6512],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6513],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6514],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6515],-2.28455,0.0151936,0.819276,0.629438,-3.95158,-2.0742,-1.41578,3606.18,1702.96,0.999338
log_lik[6516],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6517],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6518],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6519],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6520],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6521],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6522],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
log_lik[6523],-0.369066,0.000657136,0.0412298,0.0420569,-0.437472,-0.36751,-0.302201,3904.45,1266.05,0.999695
