scenario_id,rep,N,T,G_true,zero_type,rho_zeta_true,sigma_eta_true,beta0_mu_true,sigma_zeta_true,divergence_rate,treedepth_rate,accuracy,G0_mode,G0_correct,fit_time_min,sigma_eta_mean,sigma_eta_rhat,sigma_eta_ess,beta0_mu_mean,beta0_mu_rhat,beta0_mu_ess,rho_zeta_mean,rho_zeta_rhat,rho_zeta_ess,sigma_zeta_mean,sigma_zeta_rhat,sigma_zeta_ess,w1,w2,w3,w4,w5
2,5,100,50,3,infl,0.7,0.3,0.5,0.4,0.111,8.754,0.86,2,0,16.365562117099763,0.619587,1.03153,74.0877,0.507936,1.00157,645.199,0.673205,1.00578,143.128,0.396845,1.01148,182.489,0.2672061277501706,0.1455177591899632,0.106664523769069,0.1967053333619039,0.2839062799849632
2,6,100,50,3,infl,0.7,0.3,0.5,0.4,0.087,8.757,0.96,3,1,17.373692778746285,0.40785,1.03085,57.2769,0.511109,1.00245,645.111,0.656169,1.00685,182.569,0.409015,1.00566,212.306,0.2205163142053657,0.136247660692539,0.2563912350373425,0.1095857829965538,0.2772589973978134
2,7,100,50,3,infl,0.7,0.3,0.5,0.4,0.034,7.925,0.88,3,1,12.37986292441686,0.28672,1.20163,7.74248,0.459011,1.00039,704.433,0.689988,1.0041,146.5,0.384283,1.00059,174.398,0.3421442243973853,0.1933625796530979,0.1667281446735706,0.119053548844846,0.1787115148248198
2,8,100,50,3,infl,0.7,0.3,0.5,0.4,0.027,7.941,0.92,3,1,14.329371587435404,0.247917,1.12978,19.8207,0.492712,1.00019,1091.05,0.682959,1.02166,171.483,0.419315,1.01916,243.489,0.494882683,0.172434651613296,0.1626756778247099,0.0341276764136124,0.1358793343892671
2,9,100,50,3,infl,0.7,0.3,0.5,0.4,0.226,7.321,0.94,3,1,9.884336225191753,0.121397,1.3411,5.1505,0.494318,1.00903,273.485,0.684247,1.00282,145.381,0.409572,1.00237,179.264,0.419903159,0.1769021442327095,0.1684401493373935,0.2122793890546723,0.0224751699696111
2,10,100,50,3,infl,0.7,0.3,0.5,0.4,0.113,8.263,0.92,2,0,15.500621163845064,0.593138,1.00306,88.1724,0.48875,1.00219,650.63,0.685357,1.00375,266.432,0.37895,1.01683,239.956,0.4190500791186644,0.1457596290226836,0.1208744885102484,0.1078084412457973,0.2065073752253673
2,11,100,50,3,infl,0.7,0.3,0.5,0.4,0.064,8.352,0.83,3,1,17.079370911916097,0.469943,1.01556,50.2899,0.471758,0.999042,695.277,0.619285,1.01394,128.712,0.462363,1.00992,167.763,0.5564745259999999,0.0401276445754402,0.0902820162455391,0.098832449546923,0.2142833534078593
2,12,100,50,3,infl,0.7,0.3,0.5,0.4,0.135,8.709,0.74,2,0,17.772939733664195,0.717079,1.03505,73.4439,0.514474,1.00336,702.87,0.622142,1.01349,159.324,0.411376,1.01976,229.224,0.29686042052161,0.2356017722278678,0.1588446710849866,0.1161082060538404,0.1925849078417729
2,13,100,50,3,infl,0.7,0.3,0.5,0.4,0.135,6.179,0.97,3,1,12.159515337149305,0.138518,1.52058,3.75191,0.464107,1.00786,331.322,0.627406,1.03202,83.247,0.432809,1.01642,118.339,0.3323719029999999,0.374345104,0.0444036272733234,0.1047712540792702,0.1441080888902827
2,14,100,50,3,infl,0.7,0.3,0.5,0.4,0.03,8.436,0.93,3,1,18.246948579947155,0.339969,1.0896,23.2262,0.456159,1.00303,1013.35,0.757712,1.00202,258.452,0.384791,0.999435,282.517,0.409772405,0.0351042223338767,0.2657320214354867,0.065222714725392,0.224168653131204
2,15,100,50,3,infl,0.7,0.3,0.5,0.4,0.096,8.255,0.77,3,1,18.185546898841856,0.591084,1.01535,101.272,0.532389,0.999152,772.573,0.75854,1.00748,205.391,0.352665,1.00201,238.446,0.3159290217207384,0.1330119356850197,0.1465290797507559,0.1627366079579539,0.2417933797872382
2,16,100,50,3,infl,0.7,0.3,0.5,0.4,0.032,7.943,0.97,3,1,18.63927379051844,0.212594,1.04796,20.3192,0.441444,1.00374,561.422,0.594487,1.00315,62.9984,0.464278,1.00258,119.247,0.3283236235,0.1019111996088337,0.2204899633261887,0.0446759690245096,0.3045992452704351
2,17,100,50,3,infl,0.7,0.3,0.5,0.4,0.049,7.902,0.92,3,1,11.0343256910642,0.368358,1.0818,24.603,0.454592,1.00008,704.353,0.645242,1.007,144.662,0.429999,1.00597,166.609,0.5128462810000001,0.0377332745188601,0.1572586055604008,0.0856440563311002,0.2065178010292233
2,18,100,50,3,infl,0.7,0.3,0.5,0.4,0.14,8.681,0.84,3,1,18.40871958732605,0.558749,1.04723,29.4309,0.516012,0.999629,813.824,0.754344,1.00827,238.122,0.358542,1.00138,251.961,0.3665902812338937,0.1997375198036479,0.1908534781664935,0.118853445864292,0.1239652991039009
2,19,100,50,3,infl,0.7,0.3,0.5,0.4,0.049,8.403,0.79,3,1,15.205353569984435,0.476485,1.23627,6.4356,0.534553,1.00355,666.319,0.636845,1.00652,111.163,0.422333,1.00655,146.658,0.1727016254150023,0.2409696722761426,0.1368969573155032,0.1561343010541953,0.2932974450149754
2,20,100,50,3,infl,0.7,0.3,0.5,0.4,0.045,7.915,0.9,3,1,13.74821694691976,0.360313,1.21706,7.21895,0.545083,1.00887,440.645,0.788972,1.03006,115.524,0.347832,1.02815,130.139,0.4831787879999999,0.0768757739348489,0.2245382815557111,0.0760666671986271,0.1393404726468936
2,21,100,50,3,infl,0.7,0.3,0.5,0.4,0.083,8.846,0.88,2,0,20.57284859816233,0.671964,1.0122,146.451,0.5497,1.00891,444.201,0.705737,1.01669,159.134,0.358295,1.00813,198.448,0.3488667844347031,0.1590587440957357,0.1182209121676177,0.1356771465296037,0.2381764232445159
2,22,100,50,3,infl,0.7,0.3,0.5,0.4,0.109,8.3,0.8,2,0,14.816974294185638,0.618984,1.0277,106.285,0.52545,1.00085,787.489,0.573114,1.00205,143.001,0.444953,1.00464,198.69,0.3382936154687406,0.155371220058052,0.1641779872929603,0.1330574680578205,0.2090997109743129
2,23,100,50,3,infl,0.7,0.3,0.5,0.4,0.029,7.899,0.96,3,1,12.581305559476217,0.198127,1.11952,16.5145,0.496974,0.999728,716.56,0.684251,1.0177,181.228,0.413146,1.00491,208.958,0.3763747514,0.0344243402262225,0.2869464812,0.0286669685985852,0.2735874801259563
2,24,100,50,3,infl,0.7,0.3,0.5,0.4,0.065,7.863,0.96,3,1,9.93335942029953,0.29245,1.053,46.2692,0.484575,0.999957,815.776,0.743508,1.01039,180.429,0.342785,1.00293,207.501,0.5325138964,0.035573640259274,0.2141933332970543,0.0454833479239171,0.1722357726913168
2,25,100,50,3,infl,0.7,0.3,0.5,0.4,0.065,8.856,0.91,3,1,18.55758742888769,0.456828,1.08151,25.0907,0.471419,1.00304,906.276,0.661107,1.02751,170.732,0.431858,1.024,195.173,0.4013826932416213,0.1607434917867616,0.1246499749244318,0.1054253188420079,0.2077985252063127
2,26,100,50,3,infl,0.7,0.3,0.5,0.4,0.077,8.322,0.92,3,1,16.12413059870402,0.484391,1.12797,12.1836,0.495767,1.00359,643.673,0.724084,1.00277,138.872,0.401317,1.00368,163.659,0.3941316610265339,0.1157305911561707,0.0890440846704223,0.1319529121394403,0.2691407559545879
2,27,100,50,3,infl,0.7,0.3,0.5,0.4,0.101,8.153,0.96,3,1,13.981771302223205,0.226786,1.04675,41.2388,0.561182,1.00203,831.288,0.743449,1.00065,263.016,0.378732,1.00238,275.946,0.436640624,0.0883743492916016,0.2449235334086812,0.0785423531498466,0.1515191702703641
2,28,100,50,3,infl,0.7,0.3,0.5,0.4,0.024,6.962,0.9,3,1,14.853925303618114,0.283098,2.08521,2.67683,0.493086,1.00381,252.212,0.660439,1.01893,133.333,0.427272,1.00534,169.685,0.3200506437963,0.104950146857691,0.2929234047744837,0.1621340147358083,0.1199417903917892
2,29,100,50,3,infl,0.7,0.3,0.5,0.4,0.023,8.454,0.87,3,1,17.41485958894094,0.302659,1.07218,19.313,0.476853,0.99995,486.311,0.713734,1.00774,150.288,0.367085,1.01082,178.014,0.2018810506753205,0.157292718249465,0.1939285053510402,0.2095401839843386,0.2373575393465445
2,30,100,50,3,infl,0.7,0.3,0.5,0.4,0.15,8.176,0.94,3,1,17.938120011488596,0.671658,1.06536,22.5475,0.501433,1.00101,546.827,0.730712,1.01292,182.352,0.370738,1.00588,208.985,0.2258678554991584,0.1368145758760343,0.2431899596481998,0.1859477424732457,0.2081798465787419
3,1,200,50,3,infl,0.7,0.3,0.5,0.4,0.065,7.825,0.755,3,1,29.81331923007965,0.242363,1.0842,25.5258,0.534738,1.00424,607.179,0.645903,1.02124,127.131,0.412879,1.01484,157.869,0.409273473,0.1622003879878603,0.1588693546386391,0.1273387383130195,0.1423180465847548
3,2,200,50,3,infl,0.7,0.3,0.5,0.4,0.046,9.397,0.94,3,1,50.31755707263947,0.38336,1.03162,76.0971,0.46767,0.99912,976.581,0.689231,1.00001,269.426,0.415468,1.00021,258.897,0.2682735262,0.0458755076731041,0.3020716059764097,0.0704844353581999,0.3132948828375143
3,3,200,50,3,infl,0.7,0.3,0.5,0.4,0.077,7.824,0.94,3,1,27.374123573303223,0.273695,1.11528,20.6555,0.524929,1.00081,805.179,0.774361,1.02081,143.802,0.30469,1.01741,159.746,0.385199197,0.0604656696368538,0.31021786664683,0.0861120531062667,0.1580051753417036
3,4,200,50,3,infl,0.7,0.3,0.5,0.4,0.033,7.437,0.96,3,1,24.962576858202617,0.261775,1.01289,82.0286,0.468545,1.00287,543.581,0.700413,1.0048,251.934,0.408163,1.00075,277.969,0.372136682,0.0883771560895288,0.3363614020724251,0.0307752396624654,0.1723495451631736
3,5,200,50,3,infl,0.7,0.3,0.5,0.4,0.046,9.406,0.94,3,1,61.921763090292615,0.454315,1.04456,30.9495,0.529751,1.00156,1041.11,0.674537,1.00965,247.522,0.39105,1.00962,272.673,0.1485644333652524,0.2697716308105979,0.2041022388931049,0.101112486445102,0.2764492155758317
3,6,200,50,3,infl,0.7,0.3,0.5,0.4,0.081,8.367,0.93,3,1,33.36155238548915,0.329443,1.06805,59.2851,0.507962,1.00361,978.229,0.702841,1.02169,57.2525,0.381953,1.00807,86.3887,0.3359878908,0.0535703722090927,0.3280879267219244,0.0441350738413301,0.2382187276704185
3,7,200,50,3,infl,0.7,0.3,0.5,0.4,0.05,7.888,0.94,3,1,28.23149557113648,0.244702,1.08629,15.5798,0.510699,1.00254,593.13,0.669864,1.03163,114.495,0.428184,1.0122,201.437,0.414949653,0.0100817254389774,0.3182061984000258,0.0572934227601151,0.1994689818742316
3,8,200,50,3,infl,0.7,0.3,0.5,0.4,0.004,8.494,0.88,4,0,38.32644080718358,0.197087,1.18795,8.5972,0.482242,1.00131,753.953,0.586568,1.00373,206.615,0.447055,1.0032,248.165,0.2680003566,0.1183428373610816,0.285383020273,0.0514174285861477,0.276856335
3,9,200,50,3,infl,0.7,0.3,0.5,0.4,0.013,8.467,0.96,3,1,40.19809103012085,0.333963,1.02189,94.0888,0.478854,1.007,401.619,0.691176,1.00192,199.8,0.391632,1.00544,213.027,0.383674872,0.047646049566794,0.2849438034514646,0.0446045486199822,0.2391307171329714
3,10,200,50,3,infl,0.7,0.3,0.5,0.4,0.02,7.969,0.785,3,1,34.61669563055038,0.244925,1.03105,74.8444,0.452018,1.0028,757.253,0.683548,1.0069,188.199,0.421,1.00259,223.386,0.2024533474527844,0.2182342248845681,0.3091491157409256,0.037966202856621,0.23219712311909
3,11,200,50,3,infl,0.7,0.3,0.5,0.4,0.029,8.443,0.785,4,0,42.89377828041712,0.199185,1.57651,3.62584,0.51738,1.00255,782.626,0.713737,1.0074,228.296,0.378174,1.00866,187.8,0.397118243,0.1884572482524719,0.2225489612547372,0.0703770431616425,0.1214984738338052
3,12,200,50,3,infl,0.7,0.3,0.5,0.4,0.123,7.708,0.935,3,1,25.61641726096472,0.300286,1.10967,16.138,0.51104,1.00714,673.616,0.726972,1.01181,173.93,0.388265,1.00954,200.034,0.3251616308,0.2557208248513,0.1563393290665734,0.1048996517710234,0.1578785398859419
3,13,200,50,3,infl,0.7,0.3,0.5,0.4,0.027,8.428,0.925,3,1,39.82040359576544,0.253221,1.12713,22.8489,0.508633,0.998539,721.248,0.656733,1.01102,154.688,0.416083,1.01018,141.329,0.3800211679999999,0.0069055382220819,0.2696241761999999,0.0568359285724999,0.2866132004142323
3,14,200,50,3,infl,0.7,0.3,0.5,0.4,0.085,8.818,0.91,3,1,51.52281960646312,0.479351,1.08233,40.1935,0.493477,1.00213,655.951,0.751463,1.0024,177.048,0.366297,1.009,232.602,0.342462863059821,0.1565757991037117,0.1790978966847775,0.122410022970911,0.1994534315842821
3,15,200,50,3,infl,0.7,0.3,0.5,0.4,0.296,7.299,0.925,3,1,35.24551512797674,0.23712,1.06736,65.2162,0.4448,1.00927,354.463,0.667519,1.00352,110.56,0.44402,1.00759,109.836,0.384064143,0.2092056126538637,0.1816621224222757,0.1048550178691264,0.1202130881341345
3,16,200,50,3,infl,0.7,0.3,0.5,0.4,0.03,8.907,0.915,3,1,47.410581628481545,0.389487,1.15213,11.2316,0.476261,1.00037,782.115,0.71605,1.04021,131.671,0.41165,1.02248,202.438,0.2128289301195396,0.2095442863706836,0.2111519407433245,0.1231920800054239,0.2432827623780041
3,17,200,50,3,infl,0.7,0.3,0.5,0.4,0.035,7.934,0.75,3,1,33.143332739671074,0.175905,1.43718,4.12081,0.464328,1.00158,786.959,0.664238,1.00605,112.097,0.425257,1.00716,141.555,0.2307635203103797,0.2402042138717604,0.2690563734,0.0636146579294302,0.1963612259272434
3,18,200,50,3,infl,0.7,0.3,0.5,0.4,0.051,7.936,0.85,3,1,34.88143737713496,0.288855,1.07354,54.0612,0.480739,1.00849,584.924,0.727203,1.02645,169.128,0.408785,1.0219,202.431,0.396369354,0.020291646790471,0.174642809174069,0.1759947919868574,0.2327014213300874
3,19,200,50,3,infl,0.7,0.3,0.5,0.4,0.016,8.966,0.94,3,1,43.33111218611399,0.193942,1.5163,3.69075,0.500654,1.00386,499.111,0.69111,1.00483,128.665,0.399284,1.00473,151.083,0.338689511,0.1847022547799791,0.0683693151403694,0.1819183429244893,0.2263205900219536
3,20,200,50,3,infl,0.7,0.3,0.5,0.4,0.023,8.957,0.925,3,1,41.55517237583796,0.288961,1.01685,78.937,0.530023,1.0007,1375.0,0.70025,1.00618,243.373,0.360353,1.00555,276.329,0.418263187,0.0490227987337484,0.2234748299487028,0.0513966852507011,0.25784254801305
3,21,200,50,3,infl,0.7,0.3,0.5,0.4,0.062,8.836,0.82,3,1,58.712944372495016,0.118418,2.10869,2.66115,0.511624,1.00176,643.447,0.690168,1.00852,226.04,0.41012,1.00191,217.998,0.417171507,0.1649133968145758,0.1735808517981608,0.1019555346736221,0.142378731160593
3,22,200,50,3,infl,0.7,0.3,0.5,0.4,0.014,8.476,0.915,3,1,43.50758773883184,0.298382,1.01795,68.2026,0.479961,1.0056,1032.32,0.706339,1.00734,160.89,0.403162,1.00723,187.71,0.44744518,0.0606158011005837,0.1896184664512956,0.0923595417087633,0.2099610089949682
3,23,200,50,3,infl,0.7,0.3,0.5,0.4,0.088,8.295,0.85,3,1,40.33593238194784,0.50167,1.1779,9.02671,0.449934,1.00827,521.934,0.691132,1.01159,148.685,0.427663,1.00167,187.178,0.2832092060679958,0.2159134278998502,0.1480857276906072,0.1508751404322091,0.2019164881303378
3,24,200,50,3,infl,0.7,0.3,0.5,0.4,0.046,8.404,0.935,3,1,34.87574487924576,0.274034,1.03645,49.4252,0.490501,1.00299,906.539,0.721654,1.00033,303.174,0.380557,1.01298,238.494,0.406819602,0.0500265159833909,0.2739974192933665,0.0671307915097042,0.2020256873504348
3,25,200,50,3,infl,0.7,0.3,0.5,0.4,0.01,8.477,0.925,3,1,33.24239724477132,0.29697,1.00269,98.8335,0.486853,1.00216,592.108,0.644157,1.01693,118.082,0.436357,1.00911,138.601,0.3089668570507,0.0645538503005472,0.3294532430935469,0.053410674624765,0.2436153752907347
3,26,200,50,3,infl,0.7,0.3,0.5,0.4,0.078,8.356,0.915,3,1,37.12940128246943,0.556365,1.01102,45.8995,0.488041,0.999477,682.735,0.639352,1.01204,137.397,0.430828,1.00788,163.818,0.372414104659743,0.112270632715245,0.1925850182882038,0.1095243234814343,0.2132059105427006
3,27,200,50,3,infl,0.7,0.3,0.5,0.4,0.122,8.256,0.85,4,0,40.92161345879237,0.26499,1.10402,12.5835,0.499585,1.01527,268.965,0.697891,1.03969,102.274,0.388225,1.03938,108.758,0.2962003104,0.1145854590738817,0.2465147440228117,0.1197962629582962,0.2229032511440535
3,28,200,50,3,infl,0.7,0.3,0.5,0.4,0.105,9.231,0.82,3,1,62.573756925265,0.617666,1.08046,26.7997,0.517941,1.00092,540.707,0.690991,1.01065,175.586,0.404522,1.00801,179.985,0.3803552777051818,0.159547863186694,0.1349510692780469,0.1109170328598921,0.2142287420637425
3,29,200,50,3,infl,0.7,0.3,0.5,0.4,0.028,8.448,0.95,3,1,35.629477234681445,0.332981,1.04945,19.7466,0.478219,1.00088,995.038,0.650882,1.00333,149.064,0.424919,1.00218,195.724,0.2996111926926399,0.0908528622184432,0.2507265199811744,0.1187655970001504,0.2400438261496215
3,30,200,50,3,infl,0.7,0.3,0.5,0.4,0.038,8.4,0.925,3,1,41.336317984263104,0.364587,1.03324,70.4951,0.518383,0.99909,799.026,0.662419,1.02971,116.012,0.405015,1.01775,194.577,0.395064155,0.068155614157838,0.287303429256126,0.080003826035166,0.1694729816112284
4,1,100,50,4,infl,0.7,0.3,0.5,0.4,0.105,8.79,0.95,2,0,17.771234027544658,0.800456,0.998532,383.379,0.523679,0.999551,937.092,0.689175,1.01071,299.244,0.4054,1.00933,289.917,0.5201377851045748,0.0848124568965717,0.0688059417673216,0.1088079492825584,0.2174358653853268
4,2,100,50,4,infl,0.7,0.3,0.5,0.4,0.075,8.356,0.99,2,0,13.802332131067912,0.834888,1.05757,41.2882,0.501128,1.00223,737.568,0.654731,1.01603,144.44,0.413161,1.00726,257.005,0.4848126441254,0.064319642341502,0.0556898821027239,0.1233122111789355,0.2718656014146584
